"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"Wright St.","team.php?team=Wright+St.","Wright+St.","Horz","conf.php?c=Horz","Horz",2015
"Wyoming","team.php?team=Wyoming","Wyoming","MWC","conf.php?c=MWC","MWC",2015
"Xavier","team.php?team=Xavier","Xavier","BE","conf.php?c=BE","BE",2015
"Yale","team.php?team=Yale","Yale","Ivy","conf.php?c=Ivy","Ivy",2015
"Youngstown St.","team.php?team=Youngstown+St.","Youngstown+St.","Horz","conf.php?c=Horz","Horz",2015
"Abilene Christian","team.php?team=Abilene+Christian","Abilene+Christian","Slnd","conf.php?c=Slnd","Slnd",2014
"Air Force","team.php?team=Air+Force","Air+Force","MWC","conf.php?c=MWC","MWC",2014
"Akron","team.php?team=Akron","Akron","MAC","conf.php?c=MAC","MAC",2014
"Alabama","team.php?team=Alabama","Alabama","SEC","conf.php?c=SEC","SEC",2014
"Alabama A&M","team.php?team=Alabama+A%26M","Alabama+A%26M","SWAC","conf.php?c=SWAC","SWAC",2014
"Alabama St.","team.php?team=Alabama+St.","Alabama+St.","SWAC","conf.php?c=SWAC","SWAC",2014
"Albany","team.php?team=Albany","Albany","AE","conf.php?c=AE","AE",2014
"Alcorn St.","team.php?team=Alcorn+St.","Alcorn+St.","SWAC","conf.php?c=SWAC","SWAC",2014
"American","team.php?team=American","American","Pat","conf.php?c=Pat","Pat",2014
"Appalachian St.","team.php?team=Appalachian+St.","Appalachian+St.","SC","conf.php?c=SC","SC",2014
"Arizona","team.php?team=Arizona","Arizona","P12","conf.php?c=P12","P12",2014
"Arizona St.","team.php?team=Arizona+St.","Arizona+St.","P12","conf.php?c=P12","P12",2014
"Arkansas","team.php?team=Arkansas","Arkansas","SEC","conf.php?c=SEC","SEC",2014
"Arkansas Little Rock","team.php?team=Arkansas+Little+Rock","Arkansas+Little+Rock","SB","conf.php?c=SB","SB",2014
"Arkansas Pine Bluff","team.php?team=Arkansas+Pine+Bluff","Arkansas+Pine+Bluff","SWAC","conf.php?c=SWAC","SWAC",2014
"Arkansas St.","team.php?team=Arkansas+St.","Arkansas+St.","SB","conf.php?c=SB","SB",2014
"Army","team.php?team=Army","Army","Pat","conf.php?c=Pat","Pat",2014
"Auburn","team.php?team=Auburn","Auburn","SEC","conf.php?c=SEC","SEC",2014
"Austin Peay","team.php?team=Austin+Peay","Austin+Peay","OVC","conf.php?c=OVC","OVC",2014
"BYU","team.php?team=BYU","BYU","WCC","conf.php?c=WCC","WCC",2014
"Ball St.","team.php?team=Ball+St.","Ball+St.","MAC","conf.php?c=MAC","MAC",2014
"Baylor","team.php?team=Baylor","Baylor","B12","conf.php?c=B12","B12",2014
"Belmont","team.php?team=Belmont","Belmont","OVC","conf.php?c=OVC","OVC",2014
"Bethune Cookman","team.php?team=Bethune+Cookman","Bethune+Cookman","MEAC","conf.php?c=MEAC","MEAC",2014
"Binghamton","team.php?team=Binghamton","Binghamton","AE","conf.php?c=AE","AE",2014
"Boise St.","team.php?team=Boise+St.","Boise+St.","MWC","conf.php?c=MWC","MWC",2014
"Boston College","team.php?team=Boston+College","Boston+College","ACC","conf.php?c=ACC","ACC",2014
"Boston University","team.php?team=Boston+University","Boston+University","Pat","conf.php?c=Pat","Pat",2014
"Bowling Green","team.php?team=Bowling+Green","Bowling+Green","MAC","conf.php?c=MAC","MAC",2014
"Bradley","team.php?team=Bradley","Bradley","MVC","conf.php?c=MVC","MVC",2014
"Brown","team.php?team=Brown","Brown","Ivy","conf.php?c=Ivy","Ivy",2014
"Bryant","team.php?team=Bryant","Bryant","NEC","conf.php?c=NEC","NEC",2014
"Bucknell","team.php?team=Bucknell","Bucknell","Pat","conf.php?c=Pat","Pat",2014
"Buffalo","team.php?team=Buffalo","Buffalo","MAC","conf.php?c=MAC","MAC",2014
"Butler","team.php?team=Butler","Butler","BE","conf.php?c=BE","BE",2014
"Cal Poly","team.php?team=Cal+Poly","Cal+Poly","BW","conf.php?c=BW","BW",2014
"Cal St. Bakersfield","team.php?team=Cal+St.+Bakersfield","Cal+St.+Bakersfield","WAC","conf.php?c=WAC","WAC",2014
"Cal St. Fullerton","team.php?team=Cal+St.+Fullerton","Cal+St.+Fullerton","BW","conf.php?c=BW","BW",2014
"Cal St. Northridge","team.php?team=Cal+St.+Northridge","Cal+St.+Northridge","BW","conf.php?c=BW","BW",2014
"California","team.php?team=California","California","P12","conf.php?c=P12","P12",2014
"Campbell","team.php?team=Campbell","Campbell","BSth","conf.php?c=BSth","BSth",2014
"Canisius","team.php?team=Canisius","Canisius","MAAC","conf.php?c=MAAC","MAAC",2014
"Central Arkansas","team.php?team=Central+Arkansas","Central+Arkansas","Slnd","conf.php?c=Slnd","Slnd",2014
"Central Connecticut","team.php?team=Central+Connecticut","Central+Connecticut","NEC","conf.php?c=NEC","NEC",2014
"Central Michigan","team.php?team=Central+Michigan","Central+Michigan","MAC","conf.php?c=MAC","MAC",2014
"Charleston Southern","team.php?team=Charleston+Southern","Charleston+Southern","BSth","conf.php?c=BSth","BSth",2014
"Charlotte","team.php?team=Charlotte","Charlotte","CUSA","conf.php?c=CUSA","CUSA",2014
"Chattanooga","team.php?team=Chattanooga","Chattanooga","SC","conf.php?c=SC","SC",2014
"Chicago St.","team.php?team=Chicago+St.","Chicago+St.","WAC","conf.php?c=WAC","WAC",2014
"Cincinnati","team.php?team=Cincinnati","Cincinnati","Amer","conf.php?c=Amer","Amer",2014
"Clemson","team.php?team=Clemson","Clemson","ACC","conf.php?c=ACC","ACC",2014
"Cleveland St.","team.php?team=Cleveland+St.","Cleveland+St.","Horz","conf.php?c=Horz","Horz",2014
"Coastal Carolina","team.php?team=Coastal+Carolina","Coastal+Carolina","BSth","conf.php?c=BSth","BSth",2014
"Colgate","team.php?team=Colgate","Colgate","Pat","conf.php?c=Pat","Pat",2014
"College of Charleston","team.php?team=College+of+Charleston","College+of+Charleston","CAA","conf.php?c=CAA","CAA",2014
"Colorado","team.php?team=Colorado","Colorado","P12","conf.php?c=P12","P12",2014
"Colorado St.","team.php?team=Colorado+St.","Colorado+St.","MWC","conf.php?c=MWC","MWC",2014
"Columbia","team.php?team=Columbia","Columbia","Ivy","conf.php?c=Ivy","Ivy",2014
"Connecticut","team.php?team=Connecticut","Connecticut","Amer","conf.php?c=Amer","Amer",2014
"Coppin St.","team.php?team=Coppin+St.","Coppin+St.","MEAC","conf.php?c=MEAC","MEAC",2014
"Cornell","team.php?team=Cornell","Cornell","Ivy","conf.php?c=Ivy","Ivy",2014
"Creighton","team.php?team=Creighton","Creighton","BE","conf.php?c=BE","BE",2014
"Dartmouth","team.php?team=Dartmouth","Dartmouth","Ivy","conf.php?c=Ivy","Ivy",2014
"Davidson","team.php?team=Davidson","Davidson","SC","conf.php?c=SC","SC",2014
"Dayton","team.php?team=Dayton","Dayton","A10","conf.php?c=A10","A10",2014
"DePaul","team.php?team=DePaul","DePaul","BE","conf.php?c=BE","BE",2014
"Delaware","team.php?team=Delaware","Delaware","CAA","conf.php?c=CAA","CAA",2014
"Delaware St.","team.php?team=Delaware+St.","Delaware+St.","MEAC","conf.php?c=MEAC","MEAC",2014
"Denver","team.php?team=Denver","Denver","Sum","conf.php?c=Sum","Sum",2014
"Detroit","team.php?team=Detroit","Detroit","Horz","conf.php?c=Horz","Horz",2014
"Drake","team.php?team=Drake","Drake","MVC","conf.php?c=MVC","MVC",2014
"Drexel","team.php?team=Drexel","Drexel","CAA","conf.php?c=CAA","CAA",2014
"Duke","team.php?team=Duke","Duke","ACC","conf.php?c=ACC","ACC",2014
"Duquesne","team.php?team=Duquesne","Duquesne","A10","conf.php?c=A10","A10",2014
"East Carolina","team.php?team=East+Carolina","East+Carolina","CUSA","conf.php?c=CUSA","CUSA",2014
"East Tennessee St.","team.php?team=East+Tennessee+St.","East+Tennessee+St.","ASun","conf.php?c=ASun","ASun",2014
"Eastern Illinois","team.php?team=Eastern+Illinois","Eastern+Illinois","OVC","conf.php?c=OVC","OVC",2014
"Eastern Kentucky","team.php?team=Eastern+Kentucky","Eastern+Kentucky","OVC","conf.php?c=OVC","OVC",2014
"Eastern Michigan","team.php?team=Eastern+Michigan","Eastern+Michigan","MAC","conf.php?c=MAC","MAC",2014
"Eastern Washington","team.php?team=Eastern+Washington","Eastern+Washington","BSky","conf.php?c=BSky","BSky",2014
"Elon","team.php?team=Elon","Elon","SC","conf.php?c=SC","SC",2014
"Evansville","team.php?team=Evansville","Evansville","MVC","conf.php?c=MVC","MVC",2014
"FIU","team.php?team=FIU","FIU","CUSA","conf.php?c=CUSA","CUSA",2014
"Fairfield","team.php?team=Fairfield","Fairfield","MAAC","conf.php?c=MAAC","MAAC",2014
"Fairleigh Dickinson","team.php?team=Fairleigh+Dickinson","Fairleigh+Dickinson","NEC","conf.php?c=NEC","NEC",2014
"Florida","team.php?team=Florida","Florida","SEC","conf.php?c=SEC","SEC",2014
"Florida A&M","team.php?team=Florida+A%26M","Florida+A%26M","MEAC","conf.php?c=MEAC","MEAC",2014
"Florida Atlantic","team.php?team=Florida+Atlantic","Florida+Atlantic","CUSA","conf.php?c=CUSA","CUSA",2014
"Florida Gulf Coast","team.php?team=Florida+Gulf+Coast","Florida+Gulf+Coast","ASun","conf.php?c=ASun","ASun",2014
"Florida St.","team.php?team=Florida+St.","Florida+St.","ACC","conf.php?c=ACC","ACC",2014
"Fordham","team.php?team=Fordham","Fordham","A10","conf.php?c=A10","A10",2014
"Fresno St.","team.php?team=Fresno+St.","Fresno+St.","MWC","conf.php?c=MWC","MWC",2014
"Furman","team.php?team=Furman","Furman","SC","conf.php?c=SC","SC",2014
"Gardner Webb","team.php?team=Gardner+Webb","Gardner+Webb","BSth","conf.php?c=BSth","BSth",2014
"George Mason","team.php?team=George+Mason","George+Mason","A10","conf.php?c=A10","A10",2014
"George Washington","team.php?team=George+Washington","George+Washington","A10","conf.php?c=A10","A10",2014
"Georgetown","team.php?team=Georgetown","Georgetown","BE","conf.php?c=BE","BE",2014
"Georgia","team.php?team=Georgia","Georgia","SEC","conf.php?c=SEC","SEC",2014
"Georgia Southern","team.php?team=Georgia+Southern","Georgia+Southern","SC","conf.php?c=SC","SC",2014
"Georgia St.","team.php?team=Georgia+St.","Georgia+St.","SB","conf.php?c=SB","SB",2014
"Georgia Tech","team.php?team=Georgia+Tech","Georgia+Tech","ACC","conf.php?c=ACC","ACC",2014
"Gonzaga","team.php?team=Gonzaga","Gonzaga","WCC","conf.php?c=WCC","WCC",2014
"Grambling St.","team.php?team=Grambling+St.","Grambling+St.","SWAC","conf.php?c=SWAC","SWAC",2014
"Grand Canyon","team.php?team=Grand+Canyon","Grand+Canyon","WAC","conf.php?c=WAC","WAC",2014
"Green Bay","team.php?team=Green+Bay","Green+Bay","Horz","conf.php?c=Horz","Horz",2014
"Hampton","team.php?team=Hampton","Hampton","MEAC","conf.php?c=MEAC","MEAC",2014
"Hartford","team.php?team=Hartford","Hartford","AE","conf.php?c=AE","AE",2014
"Harvard","team.php?team=Harvard","Harvard","Ivy","conf.php?c=Ivy","Ivy",2014
"Hawaii","team.php?team=Hawaii","Hawaii","BW","conf.php?c=BW","BW",2014
"High Point","team.php?team=High+Point","High+Point","BSth","conf.php?c=BSth","BSth",2014
"Hofstra","team.php?team=Hofstra","Hofstra","CAA","conf.php?c=CAA","CAA",2014
"Holy Cross","team.php?team=Holy+Cross","Holy+Cross","Pat","conf.php?c=Pat","Pat",2014
"Houston","team.php?team=Houston","Houston","Amer","conf.php?c=Amer","Amer",2014
"Houston Baptist","team.php?team=Houston+Baptist","Houston+Baptist","Slnd","conf.php?c=Slnd","Slnd",2014
"Howard","team.php?team=Howard","Howard","MEAC","conf.php?c=MEAC","MEAC",2014
"IPFW","team.php?team=IPFW","IPFW","Sum","conf.php?c=Sum","Sum",2014
"IUPUI","team.php?team=IUPUI","IUPUI","Sum","conf.php?c=Sum","Sum",2014
"Idaho","team.php?team=Idaho","Idaho","WAC","conf.php?c=WAC","WAC",2014
"Idaho St.","team.php?team=Idaho+St.","Idaho+St.","BSky","conf.php?c=BSky","BSky",2014
"Illinois","team.php?team=Illinois","Illinois","B10","conf.php?c=B10","B10",2014
"Illinois Chicago","team.php?team=Illinois+Chicago","Illinois+Chicago","Horz","conf.php?c=Horz","Horz",2014
"Illinois St.","team.php?team=Illinois+St.","Illinois+St.","MVC","conf.php?c=MVC","MVC",2014
"Incarnate Word","team.php?team=Incarnate+Word","Incarnate+Word","Slnd","conf.php?c=Slnd","Slnd",2014
"Indiana","team.php?team=Indiana","Indiana","B10","conf.php?c=B10","B10",2014
"Indiana St.","team.php?team=Indiana+St.","Indiana+St.","MVC","conf.php?c=MVC","MVC",2014
"Iona","team.php?team=Iona","Iona","MAAC","conf.php?c=MAAC","MAAC",2014
"Iowa","team.php?team=Iowa","Iowa","B10","conf.php?c=B10","B10",2014
"Iowa St.","team.php?team=Iowa+St.","Iowa+St.","B12","conf.php?c=B12","B12",2014
"Jackson St.","team.php?team=Jackson+St.","Jackson+St.","SWAC","conf.php?c=SWAC","SWAC",2014
"Jacksonville","team.php?team=Jacksonville","Jacksonville","ASun","conf.php?c=ASun","ASun",2014
"Jacksonville St.","team.php?team=Jacksonville+St.","Jacksonville+St.","OVC","conf.php?c=OVC","OVC",2014
"James Madison","team.php?team=James+Madison","James+Madison","CAA","conf.php?c=CAA","CAA",2014
"Kansas","team.php?team=Kansas","Kansas","B12","conf.php?c=B12","B12",2014
"Kansas St.","team.php?team=Kansas+St.","Kansas+St.","B12","conf.php?c=B12","B12",2014
"Kennesaw St.","team.php?team=Kennesaw+St.","Kennesaw+St.","ASun","conf.php?c=ASun","ASun",2014
"Kent St.","team.php?team=Kent+St.","Kent+St.","MAC","conf.php?c=MAC","MAC",2014
"Kentucky","team.php?team=Kentucky","Kentucky","SEC","conf.php?c=SEC","SEC",2014
"LIU Brooklyn","team.php?team=LIU+Brooklyn","LIU+Brooklyn","NEC","conf.php?c=NEC","NEC",2014
"LSU","team.php?team=LSU","LSU","SEC","conf.php?c=SEC","SEC",2014
"La Salle","team.php?team=La+Salle","La+Salle","A10","conf.php?c=A10","A10",2014
"Lafayette","team.php?team=Lafayette","Lafayette","Pat","conf.php?c=Pat","Pat",2014
"Lamar","team.php?team=Lamar","Lamar","Slnd","conf.php?c=Slnd","Slnd",2014
"Lehigh","team.php?team=Lehigh","Lehigh","Pat","conf.php?c=Pat","Pat",2014
"Liberty","team.php?team=Liberty","Liberty","BSth","conf.php?c=BSth","BSth",2014
"Lipscomb","team.php?team=Lipscomb","Lipscomb","ASun","conf.php?c=ASun","ASun",2014
"Long Beach St.","team.php?team=Long+Beach+St.","Long+Beach+St.","BW","conf.php?c=BW","BW",2014
"Longwood","team.php?team=Longwood","Longwood","BSth","conf.php?c=BSth","BSth",2014
"Louisiana Lafayette","team.php?team=Louisiana+Lafayette","Louisiana+Lafayette","SB","conf.php?c=SB","SB",2014
"Louisiana Monroe","team.php?team=Louisiana+Monroe","Louisiana+Monroe","SB","conf.php?c=SB","SB",2014
"Louisiana Tech","team.php?team=Louisiana+Tech","Louisiana+Tech","CUSA","conf.php?c=CUSA","CUSA",2014
"Louisville","team.php?team=Louisville","Louisville","Amer","conf.php?c=Amer","Amer",2014
"Loyola Chicago","team.php?team=Loyola+Chicago","Loyola+Chicago","MVC","conf.php?c=MVC","MVC",2014
"Loyola MD","team.php?team=Loyola+MD","Loyola+MD","Pat","conf.php?c=Pat","Pat",2014
"Loyola Marymount","team.php?team=Loyola+Marymount","Loyola+Marymount","WCC","conf.php?c=WCC","WCC",2014
"Maine","team.php?team=Maine","Maine","AE","conf.php?c=AE","AE",2014
"Manhattan","team.php?team=Manhattan","Manhattan","MAAC","conf.php?c=MAAC","MAAC",2014
"Marist","team.php?team=Marist","Marist","MAAC","conf.php?c=MAAC","MAAC",2014
"Marquette","team.php?team=Marquette","Marquette","BE","conf.php?c=BE","BE",2014
"Marshall","team.php?team=Marshall","Marshall","CUSA","conf.php?c=CUSA","CUSA",2014
"Maryland","team.php?team=Maryland","Maryland","ACC","conf.php?c=ACC","ACC",2014
"Maryland Eastern Shore","team.php?team=Maryland+Eastern+Shore","Maryland+Eastern+Shore","MEAC","conf.php?c=MEAC","MEAC",2014
"Massachusetts","team.php?team=Massachusetts","Massachusetts","A10","conf.php?c=A10","A10",2014
"McNeese St.","team.php?team=McNeese+St.","McNeese+St.","Slnd","conf.php?c=Slnd","Slnd",2014
"Memphis","team.php?team=Memphis","Memphis","Amer","conf.php?c=Amer","Amer",2014
"Mercer","team.php?team=Mercer","Mercer","ASun","conf.php?c=ASun","ASun",2014
"Miami FL","team.php?team=Miami+FL","Miami+FL","ACC","conf.php?c=ACC","ACC",2014
"Miami OH","team.php?team=Miami+OH","Miami+OH","MAC","conf.php?c=MAC","MAC",2014
"Michigan","team.php?team=Michigan","Michigan","B10","conf.php?c=B10","B10",2014
"Michigan St.","team.php?team=Michigan+St.","Michigan+St.","B10","conf.php?c=B10","B10",2014
"Middle Tennessee","team.php?team=Middle+Tennessee","Middle+Tennessee","CUSA","conf.php?c=CUSA","CUSA",2014
"Milwaukee","team.php?team=Milwaukee","Milwaukee","Horz","conf.php?c=Horz","Horz",2014
"Minnesota","team.php?team=Minnesota","Minnesota","B10","conf.php?c=B10","B10",2014
"Mississippi","team.php?team=Mississippi","Mississippi","SEC","conf.php?c=SEC","SEC",2014
"Mississippi St.","team.php?team=Mississippi+St.","Mississippi+St.","SEC","conf.php?c=SEC","SEC",2014
"Mississippi Valley St.","team.php?team=Mississippi+Valley+St.","Mississippi+Valley+St.","SWAC","conf.php?c=SWAC","SWAC",2014
"Missouri","team.php?team=Missouri","Missouri","SEC","conf.php?c=SEC","SEC",2014
"Missouri St.","team.php?team=Missouri+St.","Missouri+St.","MVC","conf.php?c=MVC","MVC",2014
"Monmouth","team.php?team=Monmouth","Monmouth","MAAC","conf.php?c=MAAC","MAAC",2014
"Montana","team.php?team=Montana","Montana","BSky","conf.php?c=BSky","BSky",2014
"Montana St.","team.php?team=Montana+St.","Montana+St.","BSky","conf.php?c=BSky","BSky",2014
"Morehead St.","team.php?team=Morehead+St.","Morehead+St.","OVC","conf.php?c=OVC","OVC",2014
"Morgan St.","team.php?team=Morgan+St.","Morgan+St.","MEAC","conf.php?c=MEAC","MEAC",2014
"Mount St. Mary's","team.php?team=Mount+St.+Mary%27s","Mount+St.+Mary%27s","NEC","conf.php?c=NEC","NEC",2014
"Murray St.","team.php?team=Murray+St.","Murray+St.","OVC","conf.php?c=OVC","OVC",2014
"N.C. State","team.php?team=N.C.+State","N.C.+State","ACC","conf.php?c=ACC","ACC",2014
"NJIT","team.php?team=NJIT","NJIT","ind","conf.php?c=ind","ind",2014
"Navy","team.php?team=Navy","Navy","Pat","conf.php?c=Pat","Pat",2014
"Nebraska","team.php?team=Nebraska","Nebraska","B10","conf.php?c=B10","B10",2014
"Nebraska Omaha","team.php?team=Nebraska+Omaha","Nebraska+Omaha","Sum","conf.php?c=Sum","Sum",2014
"Nevada","team.php?team=Nevada","Nevada","MWC","conf.php?c=MWC","MWC",2014
"New Hampshire","team.php?team=New+Hampshire","New+Hampshire","AE","conf.php?c=AE","AE",2014
"New Mexico","team.php?team=New+Mexico","New+Mexico","MWC","conf.php?c=MWC","MWC",2014
"New Mexico St.","team.php?team=New+Mexico+St.","New+Mexico+St.","WAC","conf.php?c=WAC","WAC",2014
"New Orleans","team.php?team=New+Orleans","New+Orleans","Slnd","conf.php?c=Slnd","Slnd",2014
"Niagara","team.php?team=Niagara","Niagara","MAAC","conf.php?c=MAAC","MAAC",2014
"Nicholls St.","team.php?team=Nicholls+St.","Nicholls+St.","Slnd","conf.php?c=Slnd","Slnd",2014
"Norfolk St.","team.php?team=Norfolk+St.","Norfolk+St.","MEAC","conf.php?c=MEAC","MEAC",2014
"North Carolina","team.php?team=North+Carolina","North+Carolina","ACC","conf.php?c=ACC","ACC",2014
"North Carolina A&T","team.php?team=North+Carolina+A%26T","North+Carolina+A%26T","MEAC","conf.php?c=MEAC","MEAC",2014
"North Carolina Central","team.php?team=North+Carolina+Central","North+Carolina+Central","MEAC","conf.php?c=MEAC","MEAC",2014
"North Dakota","team.php?team=North+Dakota","North+Dakota","BSky","conf.php?c=BSky","BSky",2014
"North Dakota St.","team.php?team=North+Dakota+St.","North+Dakota+St.","Sum","conf.php?c=Sum","Sum",2014
"North Florida","team.php?team=North+Florida","North+Florida","ASun","conf.php?c=ASun","ASun",2014
"North Texas","team.php?team=North+Texas","North+Texas","CUSA","conf.php?c=CUSA","CUSA",2014
"Northeastern","team.php?team=Northeastern","Northeastern","CAA","conf.php?c=CAA","CAA",2014
"Northern Arizona","team.php?team=Northern+Arizona","Northern+Arizona","BSky","conf.php?c=BSky","BSky",2014
"Northern Colorado","team.php?team=Northern+Colorado","Northern+Colorado","BSky","conf.php?c=BSky","BSky",2014
"Northern Illinois","team.php?team=Northern+Illinois","Northern+Illinois","MAC","conf.php?c=MAC","MAC",2014
"Northern Iowa","team.php?team=Northern+Iowa","Northern+Iowa","MVC","conf.php?c=MVC","MVC",2014
"Northern Kentucky","team.php?team=Northern+Kentucky","Northern+Kentucky","ASun","conf.php?c=ASun","ASun",2014
"Northwestern","team.php?team=Northwestern","Northwestern","B10","conf.php?c=B10","B10",2014
"Northwestern St.","team.php?team=Northwestern+St.","Northwestern+St.","Slnd","conf.php?c=Slnd","Slnd",2014
"Notre Dame","team.php?team=Notre+Dame","Notre+Dame","ACC","conf.php?c=ACC","ACC",2014
"Oakland","team.php?team=Oakland","Oakland","Horz","conf.php?c=Horz","Horz",2014
"Ohio","team.php?team=Ohio","Ohio","MAC","conf.php?c=MAC","MAC",2014
"Ohio St.","team.php?team=Ohio+St.","Ohio+St.","B10","conf.php?c=B10","B10",2014
"Oklahoma","team.php?team=Oklahoma","Oklahoma","B12","conf.php?c=B12","B12",2014
"Oklahoma St.","team.php?team=Oklahoma+St.","Oklahoma+St.","B12","conf.php?c=B12","B12",2014
"Old Dominion","team.php?team=Old+Dominion","Old+Dominion","CUSA","conf.php?c=CUSA","CUSA",2014
"Oral Roberts","team.php?team=Oral+Roberts","Oral+Roberts","Slnd","conf.php?c=Slnd","Slnd",2014
"Oregon","team.php?team=Oregon","Oregon","P12","conf.php?c=P12","P12",2014
"Oregon St.","team.php?team=Oregon+St.","Oregon+St.","P12","conf.php?c=P12","P12",2014
"Pacific","team.php?team=Pacific","Pacific","WCC","conf.php?c=WCC","WCC",2014
"Penn","team.php?team=Penn","Penn","Ivy","conf.php?c=Ivy","Ivy",2014
"Penn St.","team.php?team=Penn+St.","Penn+St.","B10","conf.php?c=B10","B10",2014
"Pepperdine","team.php?team=Pepperdine","Pepperdine","WCC","conf.php?c=WCC","WCC",2014
"Pittsburgh","team.php?team=Pittsburgh","Pittsburgh","ACC","conf.php?c=ACC","ACC",2014
"Portland","team.php?team=Portland","Portland","WCC","conf.php?c=WCC","WCC",2014
"Portland St.","team.php?team=Portland+St.","Portland+St.","BSky","conf.php?c=BSky","BSky",2014
"Prairie View A&M","team.php?team=Prairie+View+A%26M","Prairie+View+A%26M","SWAC","conf.php?c=SWAC","SWAC",2014
"Presbyterian","team.php?team=Presbyterian","Presbyterian","BSth","conf.php?c=BSth","BSth",2014
"Princeton","team.php?team=Princeton","Princeton","Ivy","conf.php?c=Ivy","Ivy",2014
"Providence","team.php?team=Providence","Providence","BE","conf.php?c=BE","BE",2014
"Purdue","team.php?team=Purdue","Purdue","B10","conf.php?c=B10","B10",2014
"Quinnipiac","team.php?team=Quinnipiac","Quinnipiac","MAAC","conf.php?c=MAAC","MAAC",2014
"Radford","team.php?team=Radford","Radford","BSth","conf.php?c=BSth","BSth",2014
"Rhode Island","team.php?team=Rhode+Island","Rhode+Island","A10","conf.php?c=A10","A10",2014
"Rice","team.php?team=Rice","Rice","CUSA","conf.php?c=CUSA","CUSA",2014
"Richmond","team.php?team=Richmond","Richmond","A10","conf.php?c=A10","A10",2014
"Rider","team.php?team=Rider","Rider","MAAC","conf.php?c=MAAC","MAAC",2014
"Robert Morris","team.php?team=Robert+Morris","Robert+Morris","NEC","conf.php?c=NEC","NEC",2014
"Rutgers","team.php?team=Rutgers","Rutgers","Amer","conf.php?c=Amer","Amer",2014
"SIU Edwardsville","team.php?team=SIU+Edwardsville","SIU+Edwardsville","OVC","conf.php?c=OVC","OVC",2014
"SMU","team.php?team=SMU","SMU","Amer","conf.php?c=Amer","Amer",2014
"Sacramento St.","team.php?team=Sacramento+St.","Sacramento+St.","BSky","conf.php?c=BSky","BSky",2014
"Sacred Heart","team.php?team=Sacred+Heart","Sacred+Heart","NEC","conf.php?c=NEC","NEC",2014
"Saint Joseph's","team.php?team=Saint+Joseph%27s","Saint+Joseph%27s","A10","conf.php?c=A10","A10",2014
"Saint Louis","team.php?team=Saint+Louis","Saint+Louis","A10","conf.php?c=A10","A10",2014
"Saint Mary's","team.php?team=Saint+Mary%27s","Saint+Mary%27s","WCC","conf.php?c=WCC","WCC",2014
"Saint Peter's","team.php?team=Saint+Peter%27s","Saint+Peter%27s","MAAC","conf.php?c=MAAC","MAAC",2014
"Sam Houston St.","team.php?team=Sam+Houston+St.","Sam+Houston+St.","Slnd","conf.php?c=Slnd","Slnd",2014
"Samford","team.php?team=Samford","Samford","SC","conf.php?c=SC","SC",2014
"San Diego","team.php?team=San+Diego","San+Diego","WCC","conf.php?c=WCC","WCC",2014
"San Diego St.","team.php?team=San+Diego+St.","San+Diego+St.","MWC","conf.php?c=MWC","MWC",2014
"San Francisco","team.php?team=San+Francisco","San+Francisco","WCC","conf.php?c=WCC","WCC",2014
"San Jose St.","team.php?team=San+Jose+St.","San+Jose+St.","MWC","conf.php?c=MWC","MWC",2014
"Santa Clara","team.php?team=Santa+Clara","Santa+Clara","WCC","conf.php?c=WCC","WCC",2014
"Savannah St.","team.php?team=Savannah+St.","Savannah+St.","MEAC","conf.php?c=MEAC","MEAC",2014
"Seattle","team.php?team=Seattle","Seattle","WAC","conf.php?c=WAC","WAC",2014
"Seton Hall","team.php?team=Seton+Hall","Seton+Hall","BE","conf.php?c=BE","BE",2014
"Siena","team.php?team=Siena","Siena","MAAC","conf.php?c=MAAC","MAAC",2014
"South Alabama","team.php?team=South+Alabama","South+Alabama","SB","conf.php?c=SB","SB",2014
"South Carolina","team.php?team=South+Carolina","South+Carolina","SEC","conf.php?c=SEC","SEC",2014
"South Carolina St.","team.php?team=South+Carolina+St.","South+Carolina+St.","MEAC","conf.php?c=MEAC","MEAC",2014
"South Dakota","team.php?team=South+Dakota","South+Dakota","Sum","conf.php?c=Sum","Sum",2014
"South Dakota St.","team.php?team=South+Dakota+St.","South+Dakota+St.","Sum","conf.php?c=Sum","Sum",2014
"South Florida","team.php?team=South+Florida","South+Florida","Amer","conf.php?c=Amer","Amer",2014
"Southeast Missouri St.","team.php?team=Southeast+Missouri+St.","Southeast+Missouri+St.","OVC","conf.php?c=OVC","OVC",2014
"Southeastern Louisiana","team.php?team=Southeastern+Louisiana","Southeastern+Louisiana","Slnd","conf.php?c=Slnd","Slnd",2014
"Southern","team.php?team=Southern","Southern","SWAC","conf.php?c=SWAC","SWAC",2014
"Southern Illinois","team.php?team=Southern+Illinois","Southern+Illinois","MVC","conf.php?c=MVC","MVC",2014
"Southern Miss","team.php?team=Southern+Miss","Southern+Miss","CUSA","conf.php?c=CUSA","CUSA",2014
"Southern Utah","team.php?team=Southern+Utah","Southern+Utah","BSky","conf.php?c=BSky","BSky",2014
"St. Bonaventure","team.php?team=St.+Bonaventure","St.+Bonaventure","A10","conf.php?c=A10","A10",2014
"St. Francis NY","team.php?team=St.+Francis+NY","St.+Francis+NY","NEC","conf.php?c=NEC","NEC",2014
