"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"St. Francis PA","team.php?team=St.+Francis+PA","St.+Francis+PA","NEC","conf.php?c=NEC","NEC",2023
"St. John's","team.php?team=St.+John%27s","St.+John%27s","BE","conf.php?c=BE","BE",2023
"St. Thomas","team.php?team=St.+Thomas","St.+Thomas","Sum","conf.php?c=Sum","Sum",2023
"Stanford","team.php?team=Stanford","Stanford","P12","conf.php?c=P12","P12",2023
"Stephen F. Austin","team.php?team=Stephen+F.+Austin","Stephen+F.+Austin","WAC","conf.php?c=WAC","WAC",2023
"Stetson","team.php?team=Stetson","Stetson","ASun","conf.php?c=ASun","ASun",2023
"Stonehill","team.php?team=Stonehill","Stonehill","NEC","conf.php?c=NEC","NEC",2023
"Stony Brook","team.php?team=Stony+Brook","Stony+Brook","CAA","conf.php?c=CAA","CAA",2023
"Syracuse","team.php?team=Syracuse","Syracuse","ACC","conf.php?c=ACC","ACC",2023
"TCU","team.php?team=TCU","TCU","B12","conf.php?c=B12","B12",2023
"Tarleton St.","team.php?team=Tarleton+St.","Tarleton+St.","WAC","conf.php?c=WAC","WAC",2023
"Temple","team.php?team=Temple","Temple","Amer","conf.php?c=Amer","Amer",2023
"Tennessee","team.php?team=Tennessee","Tennessee","SEC","conf.php?c=SEC","SEC",2023
"Tennessee Martin","team.php?team=Tennessee+Martin","Tennessee+Martin","OVC","conf.php?c=OVC","OVC",2023
"Tennessee St.","team.php?team=Tennessee+St.","Tennessee+St.","OVC","conf.php?c=OVC","OVC",2023
"Tennessee Tech","team.php?team=Tennessee+Tech","Tennessee+Tech","OVC","conf.php?c=OVC","OVC",2023
"Texas","team.php?team=Texas","Texas","B12","conf.php?c=B12","B12",2023
"Texas A&M","team.php?team=Texas+A%26M","Texas+A%26M","SEC","conf.php?c=SEC","SEC",2023
"Texas A&M Commerce","team.php?team=Texas+A%26M+Commerce","Texas+A%26M+Commerce","Slnd","conf.php?c=Slnd","Slnd",2023
"Texas A&M Corpus Chris","team.php?team=Texas+A%26M+Corpus+Chris","Texas+A%26M+Corpus+Chris","Slnd","conf.php?c=Slnd","Slnd",2023
"Texas Southern","team.php?team=Texas+Southern","Texas+Southern","SWAC","conf.php?c=SWAC","SWAC",2023
"Texas St.","team.php?team=Texas+St.","Texas+St.","SB","conf.php?c=SB","SB",2023
"Texas Tech","team.php?team=Texas+Tech","Texas+Tech","B12","conf.php?c=B12","B12",2023
"The Citadel","team.php?team=The+Citadel","The+Citadel","SC","conf.php?c=SC","SC",2023
"Toledo","team.php?team=Toledo","Toledo","MAC","conf.php?c=MAC","MAC",2023
"Towson","team.php?team=Towson","Towson","CAA","conf.php?c=CAA","CAA",2023
"Troy","team.php?team=Troy","Troy","SB","conf.php?c=SB","SB",2023
"Tulane","team.php?team=Tulane","Tulane","Amer","conf.php?c=Amer","Amer",2023
"Tulsa","team.php?team=Tulsa","Tulsa","Amer","conf.php?c=Amer","Amer",2023
"UAB","team.php?team=UAB","UAB","CUSA","conf.php?c=CUSA","CUSA",2023
"UC Davis","team.php?team=UC+Davis","UC+Davis","BW","conf.php?c=BW","BW",2023
"UC Irvine","team.php?team=UC+Irvine","UC+Irvine","BW","conf.php?c=BW","BW",2023
"UC Riverside","team.php?team=UC+Riverside","UC+Riverside","BW","conf.php?c=BW","BW",2023
"UC San Diego","team.php?team=UC+San+Diego","UC+San+Diego","BW","conf.php?c=BW","BW",2023
"UC Santa Barbara","team.php?team=UC+Santa+Barbara","UC+Santa+Barbara","BW","conf.php?c=BW","BW",2023
"UCF","team.php?team=UCF","UCF","Amer","conf.php?c=Amer","Amer",2023
"UCLA","team.php?team=UCLA","UCLA","P12","conf.php?c=P12","P12",2023
"UMBC","team.php?team=UMBC","UMBC","AE","conf.php?c=AE","AE",2023
"UMKC","team.php?team=UMKC","UMKC","Sum","conf.php?c=Sum","Sum",2023
"UMass Lowell","team.php?team=UMass+Lowell","UMass+Lowell","AE","conf.php?c=AE","AE",2023
"UNC Asheville","team.php?team=UNC+Asheville","UNC+Asheville","BSth","conf.php?c=BSth","BSth",2023
"UNC Greensboro","team.php?team=UNC+Greensboro","UNC+Greensboro","SC","conf.php?c=SC","SC",2023
"UNC Wilmington","team.php?team=UNC+Wilmington","UNC+Wilmington","CAA","conf.php?c=CAA","CAA",2023
"UNLV","team.php?team=UNLV","UNLV","MWC","conf.php?c=MWC","MWC",2023
"USC","team.php?team=USC","USC","P12","conf.php?c=P12","P12",2023
"USC Upstate","team.php?team=USC+Upstate","USC+Upstate","BSth","conf.php?c=BSth","BSth",2023
"UT Arlington","team.php?team=UT+Arlington","UT+Arlington","WAC","conf.php?c=WAC","WAC",2023
"UT Rio Grande Valley","team.php?team=UT+Rio+Grande+Valley","UT+Rio+Grande+Valley","WAC","conf.php?c=WAC","WAC",2023
"UTEP","team.php?team=UTEP","UTEP","CUSA","conf.php?c=CUSA","CUSA",2023
"UTSA","team.php?team=UTSA","UTSA","CUSA","conf.php?c=CUSA","CUSA",2023
"Utah","team.php?team=Utah","Utah","P12","conf.php?c=P12","P12",2023
"Utah St.","team.php?team=Utah+St.","Utah+St.","MWC","conf.php?c=MWC","MWC",2023
"Utah Tech","team.php?team=Utah+Tech","Utah+Tech","WAC","conf.php?c=WAC","WAC",2023
"Utah Valley","team.php?team=Utah+Valley","Utah+Valley","WAC","conf.php?c=WAC","WAC",2023
"VCU","team.php?team=VCU","VCU","A10","conf.php?c=A10","A10",2023
"VMI","team.php?team=VMI","VMI","SC","conf.php?c=SC","SC",2023
"Valparaiso","team.php?team=Valparaiso","Valparaiso","MVC","conf.php?c=MVC","MVC",2023
"Vanderbilt","team.php?team=Vanderbilt","Vanderbilt","SEC","conf.php?c=SEC","SEC",2023
"Vermont","team.php?team=Vermont","Vermont","AE","conf.php?c=AE","AE",2023
"Villanova","team.php?team=Villanova","Villanova","BE","conf.php?c=BE","BE",2023
"Virginia","team.php?team=Virginia","Virginia","ACC","conf.php?c=ACC","ACC",2023
"Virginia Tech","team.php?team=Virginia+Tech","Virginia+Tech","ACC","conf.php?c=ACC","ACC",2023
"Wagner","team.php?team=Wagner","Wagner","NEC","conf.php?c=NEC","NEC",2023
"Wake Forest","team.php?team=Wake+Forest","Wake+Forest","ACC","conf.php?c=ACC","ACC",2023
"Washington","team.php?team=Washington","Washington","P12","conf.php?c=P12","P12",2023
"Washington St.","team.php?team=Washington+St.","Washington+St.","P12","conf.php?c=P12","P12",2023
"Weber St.","team.php?team=Weber+St.","Weber+St.","BSky","conf.php?c=BSky","BSky",2023
"West Virginia","team.php?team=West+Virginia","West+Virginia","B12","conf.php?c=B12","B12",2023
"Western Carolina","team.php?team=Western+Carolina","Western+Carolina","SC","conf.php?c=SC","SC",2023
"Western Illinois","team.php?team=Western+Illinois","Western+Illinois","Sum","conf.php?c=Sum","Sum",2023
"Western Kentucky","team.php?team=Western+Kentucky","Western+Kentucky","CUSA","conf.php?c=CUSA","CUSA",2023
"Western Michigan","team.php?team=Western+Michigan","Western+Michigan","MAC","conf.php?c=MAC","MAC",2023
"Wichita St.","team.php?team=Wichita+St.","Wichita+St.","Amer","conf.php?c=Amer","Amer",2023
"William & Mary","team.php?team=William+%26+Mary","William+%26+Mary","CAA","conf.php?c=CAA","CAA",2023
"Winthrop","team.php?team=Winthrop","Winthrop","BSth","conf.php?c=BSth","BSth",2023
"Wisconsin","team.php?team=Wisconsin","Wisconsin","B10","conf.php?c=B10","B10",2023
"Wofford","team.php?team=Wofford","Wofford","SC","conf.php?c=SC","SC",2023
"Wright St.","team.php?team=Wright+St.","Wright+St.","Horz","conf.php?c=Horz","Horz",2023
"Wyoming","team.php?team=Wyoming","Wyoming","MWC","conf.php?c=MWC","MWC",2023
"Xavier","team.php?team=Xavier","Xavier","BE","conf.php?c=BE","BE",2023
"Yale","team.php?team=Yale","Yale","Ivy","conf.php?c=Ivy","Ivy",2023
"Youngstown St.","team.php?team=Youngstown+St.","Youngstown+St.","Horz","conf.php?c=Horz","Horz",2023
